scarf шарф
dreams мрії
anion аніон
oar весла
statistics статистика
butt прикладом
anti-china анти-китай
deafening оглушливого
wonk виграти
breakaway відокремлений
jibe джибе
bevel скошений
misdemeanor проступок
can't не можу
jingoism юнгіомізм
forward вперед
phosphorous фосфор
lovely милий
raja Раджа
sheets аркуші
extremity кінцівка
acre акр
shoplift магазинний підйомник
belongs належить
peninsula півострів
brooklyn бруклін
tending намагаючись
animating анімація
cupful чайник
plaything іграшка
regarding відносно
fixing фіксація
probability ймовірність
film фільм
thousand тисяча
assurance гарантія
light-footed легкий нос
expends витрачає
tumbled впав
dug викопаний
good-naturedly добродушно
latest останній
satan сатана
potentiate потенціювати
fuzzily нерозумно
marionette марионетка
slain забитий
telecosm телекосм
santa санта
hired найнятий
tilted нахилений
corm корінь
fatso fatso
tomb могила
active-matrix активна матриця
authoritatively авторитетно
ease легкість
non-assertive несердечний
boyfriend хлопець
cramp судоми
recovered одужав
prominent видатний
departure від'їзд
broken-off розірваний
characters персонажів
providing забезпечення
banging стукати
whim примха
breastwork груди
events події
adopted прийнятий
discovery відкриття
pp. с.
lungs легені
eventful насичений
joined приєднався
deviance девіантність
botanist ботанік
cacophonous какофонів
negation заперечення
pizzicato піцикато
gravely тяжко
vaguely смутно
kinship спорідненість
llama лама
exporting експорт
fantasyland фантазія
pronounce вимовляти
grudge зраджувати
gravitationally гравітаційно
distributing розповсюдження
middling середній
thirty-nine тридцять дев'ять
lessened зменшено
agitator агітатор
lamentation плач
rapporteur доповідач
politeness ввічливість
quest квест
tongue-in-cheek язик-в-щоці
fortnight два тижні
stampede штампування
dining їдальня
eats їсть
violin скрипка
forearm передпліччя
unparalleled неперевершений
orchard фруктовий сад
soaring різко зростає
demonizing демонізувати
refurbish реконструювати
decent гідний
iridium іридій
silence тиша
judeo-christian юдейсько-християнський
museum музей
sashay сашай
larch модрина
reintroduce відновити
downspout падіння
etheric ефірний
fellows стипендіати
aforesaid вищесказане
subjectivity суб'єктивність
cooper мідь
Zairean Заїр
gritty грубий
chill застуда
bury ховати
intertextual інтертекстуальний
an' '
mujahideen моджахедів
unpublished неопублікований
encamped таборували
two-by-four два з чотирма
obtained отриманий
drowning топити
isolationist ізоляціоніст
algebra алгебра
criteria критерії
sounded звучав
clash зіткнення
downgrade знизити
parthian парфянський
hyperparathyroidism гіперпаратиреоз
ceaseless безперервний
mocking глузування
tact такт
hypnotically гіпнотично
heel каблук
local місцевий
permitted дозволено
flag-waving махання прапором
wordforms словоформ
invisibly невидимо
matriarchal матріархальний
twentieth двадцяте місце
shelves полиці
bogeyman богейман
rejuvenating омолоджуючий
hoaxer обманщик
promotion просування по службі
clean-burning чистого горіння
guests гості
rafter кряж
trouper трупа
malevolently злобно
super супер
deed справа
underestimation недооцінка
she'd вона буде
floating-point плаваюча точка
fluctuate коливаються
vintage-style марочний стиль
cross-referencing перехресні посилання
disclosed розкрито
victory перемога
melancholy меланхолія
trusty надійний
adolescent підліток
giant гігант
superficially поверхово
compress стиснути
creature створіння
gilt-bronze позолота-бронза
attitude ставлення
queer чудовий
tail-end хвостовий кінець
heaviness важкість
snowdrop засніжений
armless безрукавний
slosh брудний
military-style військовий стиль
manslaughter вбивство
acquiescence згоду
martin мартин
hematocrit гематокрит
eminent видатний
ochre охр
split-screen спліт-екран
big-company велика компанія
participation участь
husk лушпиння
chi-square хі-квадрат
inquiring запитує
snooper Снопера
beautifully красиво
diabetes діабет
appian аппіан
ptarmigan птарміган
seven-inch семидюймовий
printer принтер
clerks клерки
sometime колись
bettor пантера
hurled кинувся
canard канард
inroads в'їжджає
terminally терміново
edges краю
frankness відвертість
intravenously внутрішньовенно
bioavailability біодоступність
pick-your-own вибрати свій власний
emphasis акцент
faint слабкий
arrow-straight стрілка прямо
happiest найщасливіший
magistrates магістрати
cobweb павутина
absolute абсолютний
disdainful зневажливий
banner банер
nuisance неприємність
gloom мрак
laser-guided керований лазером
wigeon голуб
gregarious стадний
listless млявий
contemplated передбачалося
avert запобігти
blow-dry висихати
methylmercury метилртуті
ephemeris ефемериди
boomerang бумеранг
cardinal кардинал
too-bright теж яскраво
wrecked зруйнований
steward стюард
disgrace ганьба
foolproof дурний
proctor проктор
once-sleepy колись сонний
sombre мерзенний
occurring відбувається
section розділ
top-five топ-п'ять
two-foot два фути
sixth-floor шостого поверху
troller троллер
considered розглянутий
o-ring о-кільце
thy твій
Sikh Сикх
vexation роздратування
virtuosic віртуозний
prison в'язниця
dieldrin ділдрін
gone пішов
smelting виплавка
scholastics схоластика
swain swain
shiv шив
complete завершити
carbon-carbon вуглець-вуглець
resettle переїзд
sensationally сенсаційно
manners манери
rejoined приєднався
jurisdiction юрисдикція
microelectronic мікроелектронний
predominantly переважно
freezer морозильник
scratchboard скретч-лот
lighted освітлений
tobacco тютюн
pages сторінок
well-told добре сказано
gout подагра
misconceived неправильно зрозумілий
stared подивився
out-group поза груповий
trans-alaska транс-аляска
colored кольоровий
bulgarian болгарський
waistline талія
women-specific жінки-специфічні
caged кегль
impulse імпульс
mortality смертність
memory пам'ять
dismal похмурий
sore болить
logic логіка
salami салями
relations відносини
laughter сміх
beneficially вигідно
groggy похмурий
intake споживання
snagged зачепив
arise виникати
screenwriter сценарист
bin бен
madam мадам
seal печатка
stronger сильніше
frenetic божевільний
prince князь
intimacy близькість
load навантаження
porch ганок
catbird котлета
decadence занепад
floral-print квітковий друк
ravaged руйнується
sandwich бутерброд
dirty брудний
opposing протиставляючи
obelisk обеліск
blab блаб
belgian бельгійський
immunization імунізація
purity чистота
joshua джошуа
gastroenterologist гастроентеролог
blitz бліц
intricate складний
raiment одяг
reappoint повторювати
ta та
piety благочестя
redolence краснота
green-black зелено-чорний
every кожен
undertake зобов'язується
deformable деформований
dowser душер
shimmering мерехтіння
rut рут
pardon помилую
misty туманний
higher-priced дорожче
unrelentingly невпинно
bluish-white блакитно-білий
post-coup після перевороту
anthem гімн
sovereignty суверенітет
love-hate Любовна ненависть
instruction інструкція
embraces охоплює
matrilineal матрилінеальний
bonds облігації
constituted складається
internally внутрішньо
missionary місіонер
memorial меморіал
curvilinear криволінійний
floral квітковий
placatingly спокійно
withheld утримується
gran гран
torsional крутіння
fiend диявол
overload перевантаження
fist-sized кулак-розмір
ben бен
petty дріб'язковий
sweaty пітний
unintelligibility незрозумілість
choo-choo хоу-чоо
rounders округлі
well-read добре читай
deadly смертельно
effectual ефективний
knows знає
fishermen рибалки
highlighting підсвічування
heal зцілити
justify виправдати
oration орація
collected зібрані
copying копіювання
usage використання
suppurate суппурат
mandatory обов'язковий
coast-down вниз вниз
biting кусати
layering розшарування
plebeian плебейський
dakota дакота
broken зламаний
biochemist біохімік
unloaded вивантажений
resembling нагадує
sodomize содомізувати
steve стів
single-mindedness єдинодушність
fee-based платно
practised практикується
flounce флексон
coffee-shop кав'ярня
distrust недовіра
zero-based нульовий основі
lieu лею
telemedicine телемедицина
romper ромпер
rhesus резус
snowball сніжний ком
jeffersonian джефферсон
shakespeare шекспір
duck-billed качка-біллінг
ate їв
trilingual трьохмовний
orthomolecular ортомолекулярний
torturous болісний
lux люкс
eugenics євгеніка
entity суб'єкт господарювання
aloud вголос
nicely красиво
yourselves самі
wrongs помиляється
rhetoric риторика
privilege привілей
thousands тисячі
early-warning раннє попередження
criminals злочинці
type тип
precedence пріоритет
poacher браконьєр
negligent недбалість
paddy пасма
pressroom прес-центр
implode занурення
bioregion біорегіон
diversity різноманітність
krishna крішна
iron-rich багатий залізою
combining поєднання
declaration декларація
retrospectively ретроспективно
impart надати
fluency вільне володіння
time час
overgrazed надмірний випасаний
morally морально
spake говорив
dogsled собаки
furor фурор
worth варто
combustor камера згоряння
hightail hightail
sewing шиття
leather-wrapped шкіра-загорнута
university-based університетський
unanswered без відповіді
navel-gazing дивитися на пупок
galley камбуз
armadillo броненосця
bite кусати
hereby цим
boom-and-bust бум і бюст
sport-utility спорт-утиліта
allusion натяк
sangria сангрія
rock рок
entertained розважали
defacement знесилення
computerized комп'ютеризований
plague чума
agentry агенція
feminine жіночий
morphine морфін
suits костюми
cross хрест
promised пообіцяв
sonorously звучно
metrically метрично
hanker ханкер
gorget горет
rod стержень
Hispanic Латиноамериканець
canadian канадський
schemes схеми
sinecure синекура
explained пояснив
offers пропозиції
rested відпочив
exceptional винятковий
heart серце
focus-group фокус-групи
verifier верифікатор
besides крім того
peek заглянути
proofs докази
provided надано
sadist садист
sea море
swale засмітити
mid-70s середина 70-х
Manichaean Манікей
disturbed порушено
catalysis каталіз
convulsive судорожно
telegram телеграма
loosestrife розрядність
gem дорогоцінний камінь
imperative імператив
new новий
verily істинно
intellect інтелект
pillar стовп
affairs справи
diversion відволікання
appear з'являтися
princely княжий
bathroom ванна кімната
winds вітри
battery акумулятор
joyful радісний
colonel полковник
trombone тромбон
harm-reduction зменшення шкоди
specified зазначено
filth бруд
campo Кампо
hacking хакерство
Orientalist Орієнталіст
yawning позіхає
plantsman заводчик
stretching розтягування
revolutionized революції
wheedle коліщатка
lemon лимон
smoothly плавно
poet поет
removing видалення
forbiddingly заборонено
parlour салон
anxiously тривожно
disequilibrium порушення рівноваги
halt зупинитися
now-familiar тепер-знайомий
codpiece кобура
gravity сила тяжіння
frightful страшний
water-filled наповнений водою
pig-iron чавун
version версія
philip філіп
in-town в місті
nation нація
pressure-sensitive чутливий до тиску
castle замок
sham шалений
thoughtless бездумний
hurting поранення
twelve дванадцять
sub-.500 під-500
organization організація
truckload вантажівок
conscientious сумлінно
mounting монтаж
offend ображати
laceration розрив
final фінал
self-administered самоврядування
letter-writing написання листів
mantle мантія
artlessly бездоганно
ten-foot десять футів
contracted контракт
doctrinal доктринальний
archdiocese архієпархія
enlightenment просвітлення
truckstop truckstop
venice венеція
sunny сонячно
deputy заступник
gravity-defying гравітаційно-суперечливий
joyride джойрид
slow-cooked повільно приготований
angelic ангельський
ideal ідеальний
chirpy чірікий
shape форма
sing співай
lazy лінивий
biggie biggie
thing річ
fallback відступати
gradual поступовий
father's батько
reminded нагадала
warm-up розминка
talents таланти
fuss метушня
roll-call зворотний дзвінок
evict виселити
frontcourt передня частина
price ціна
graphically графічно
itty-bitty етти-бітій
two-cycle двоцикл
so-called так званий
astonishing дивовижний
quick-draw швидкий малюнок
twenty-minute двадцять хвилин
hold тримайся
babble лепет
knots вузли
cyanobacterial ціанобактерії
hunk хуй
accretion посилення
kerb стригти
blue-chip блакитний чіп
lest начебто
radiant променистий
devout побожний
grasping захоплення
concerns стурбованість
quarterstaff квартальнийпідрозділ
anticipation очікування
overreach перевитрата
counterforce протидія
confined обмежений
equipment обладнання
greet вітаю
incoherence непослідовність
swindler мошенник
six-month-old шестимісячний
stun оглушити
exception виняток
church-sponsored спонсорована церквою
princedom князівство
Pompeian Помпеян
coursework курсова робота
frankish франкський
beetroot буряк
commencement початок
chivalry лицарство
transgenic трансгенний
monopole монопольний
spoke говорив
plate тарілка
sorrows горе
separately окремо
attend відвідувати
professor професор
vicinity околиці
fifth п'ятий
limitlessness безмежність
posture постава
eventuate можливий випадок
place-based на місці
prosecute переслідувати
devour пожирай
mountains гори
tightness герметичність
damage шкода
worshiping поклонятися
trustworthy довірливий
wheeled колісний
hideaway притулок
toe ніг
riches багатство
lucy люсі
genotypic генотип
acidify підкислювати
lords лорди
passe пас
curvaceous криволінійний
high-intensity висока інтенсивність
eight-week вісім тижнів
systematics систематика
surrounded оточений
haggling торгуючись
bounty щедрість
minutes хвилин
evening вечір
lodged подався
logs колоди
interest інтерес
pontiff понтифік
describable описаний
pinewood сосна
industrial-sized промисловий розмір
medlar мушмула
extirpation винищення
digoxin дигоксин
million мільйон
stalemated тупий
suddenness раптовість
pebbled галька
awry хитрий
demimonde демімонд
capturing захоплення
attendance відвідування
marshall маршалл
satisfaction задоволення
singers співаки
swill залити
waste відходи
roofs дахи
decolonize деколонізувати
maiden дівчина
accordingly відповідно
microcode мікрокод
leslie леслі
presses натискає
honesty чесність
accent акцент
oppressed пригнічений
commercial-grade комерційний клас
east-northeast схід-північний схід
obedience слухняність
bleak млявий
flush-mounted флеш-монтується
frivolously легковажно
pardner продавець
hodgepodge hodgepodge
indifferent байдужий
preserved зберігся
updated оновлено
sacralization сакралізація
whelk сплюснути
michigan мічиган
throughout всюди
isoniazid ізоніазид
turk турки
hurdle перешкода
concentration концентрація
constitute складають
prefabricated збірні
eligibility відповідність
green-eyed зеленоокий
decider вирішити
dis дис
dusty пильний
laud лауд
haunted переслідував
warmer тепліше
base база
pro-Israel про-Ізраїль
whereabouts Місце проживання
slantwise схилом
restrictor-plate обмежувач-тарілка
suggests пропонує
trilateral тристороння
toughness в'язкість
derangement розрив
lambada ламбада
sulking задихаючись
likewise так само
sensual чуттєвий
smothered задушив
longhorn longhorn
no-place немає місця
entering вхід
awesomely приголомшливо
chairmanship головування
exhortation натхнення
professed сповідував
discipline дисципліна
unity єдність
wax віск
compleat повн
star-filled зірка заповнена
sum сума
chocolatier шоколадний
abate зменшувати
ambidextrous ambidextrous
wish побажати
whiz-bang хит-бен
truss ферма
hawaii гаваї
foreknowledge передбачення
two-hundred двісті
devourer пожиратель
stockpiled накопичений
none ніхто
motorsport автоспорт
chinese китайська
in-depth поглиблений
moonlet місячний
mulching мульчування
cackling косати
chihuahua чихуахуа
permanent постійний
afrikaans африкаанс
three-block триблочний
antioxidant антиоксидант
mantis мантис
maternal материнська
clear-cutting прозора різання
chloride хлорид
manatee манат
questioned підданий сумніву
termed називається
chambers палати
anti-narcotics антинаркотичні засоби
bantering бантінг
elephant слон
toll-free безкоштовний
overcooked перероблений
tax податок
fathomless бездоганний
seine сена
dimorphism диморфізм
fortress фортеця
grade-schooler клас-школяр
monk монах
wast мав
pelagic пелагічний
clear-thinking ясно-мислення
rejoicing радіти
okapi окапі
gabriel габріель
timorese тиморці
perplexity збентеженість
warfare війна
sip ковток
knee коліно
England-style Стиль Англії
acupuncturist акупунктурист
disfigurement знекровлення
firing стрілянина
fatherland батьківщина
ambitious амбіційний
spenser спенсер
prisoners ув'язнені
star зірка
saturnian Сатурніан
kahuna Кахуна
e-mail електронна пошта
nest гніздо
embedded вбудований
scant слабкий
strumpet штрупет
russian російський
promoting просування
spoon ложка
actuator привід
heaven небеса
split розкол
flower квітка
glasses окуляри
interrupt переривання
useful корисний
encamp таборувати
in-house власний
fabled легенда
checkup перевіряти
invented винайшов
rhapsodize рапсодизувати
capillary капіляр
latin латинський
perhaps може бути
two-timing два часу
furnish обробка
study вивчення
warm теплий
feudal феодальний
trace слід
ventilate провітрювати
task завдання
conservative консервативний
brain-dead мозок мертвий
pear-shaped грушоподібної форми
sees бачить
provenience походження
conquistador конкістадор
cases випадки
proportions пропорції
contemptible презирливий
sanctuary святилище
lithe літха
seven-day семиденний
self-portraiture автопортрети
routinization рутинізація
encouragement заохочення
stinging жало
preferable краще
leftward вліво
gentleman джентльмен
chinese-owned китайська власність
sworn присягнув
longest-lasting довготривалий
sun-like сонячний
unenforced незабезпечений
worst найгірший
civility цілеспрямованість
combined об'єднаний
district районний
layaway маяк
complicitous співчутливий
flaming палаючий
chaperon шаперон
disa диса
font шрифт
primary первинний
tractable підтягнутий
friendliness доброзичливість
worried стурбований
terminate припинити
quinine хінін
minus мінус
shiksa шикса
contemplative споглядальний
coral корал
indescribable невимовний
concrete бетон
shy сором'язливий
die вмирати
aged у віці
witchcraft чаклунство
scaffolded підіймався
grant грант
lamarckian ламарка
lamp лампа
roseate рожевий
complain скаржись
towns містечка
three-guard три-вартові
muster збірка
preserve зберегти
render візуалізувати
eminence превосходительство
impatiently нетерпляче
windscreen вітрове скло
ascii ассіі
orderly упорядкований
tactics тактика
unsavory неприємний
sweat-soaked потік
headmaster директор
lapel лацкан
boomlet бумлет
end-to-end кінець в кінець
overthrow повалити
irrationally ірраціонально
columbus колумб
spiked шипований
best-preserved найкраще збережений
bust бюст
post-Watergate пост-Уотергейт
fill заповнити
sneaky підлий
prohibition заборона
impurity домішка
sail вітрило
supposing припускаючи
prank прискорити
bear-proof нестерпний
geezer Гейзер
narratively нарративно
ruling постановив
memorialize запам'ятовувати
themself сам себе
union союз
learn вчитися
may може
punkish танкиш
humbling смиренний
pretext привід
replicant реплікант
chlorofluorocarbon хлорфторуглерод
non-farm не-ферма
tickets квитки
superficial поверхневий
tactically тактично
2 2
sexton Секстант
thirteen-year-old тринадцятирічна
scattered розкиданий
seeming здавалося
dexterity спритність
meal їжа
explosion вибух
endowed наділений
divergent розходяться
nasty неприємний
swallowtail ластівка
brown-skinned коричневий-шкірний
tested протестований
inevitable неминучий
she/he вона / вона
high-key висококласний
chin підборіддя
ch. ч.
devastate спустошити
sol соль
one-lane одна смуга
inequality нерівність
law-breaking порушення закону
in-state в стані
et et
repaired відремонтований
twine шпагат
Hopi Хопі
stroboscopic стробоскопічний
risk ризик
refined вишуканий
encroaching зазіхати
lostness втрата
course звичайно
kilim кілім
kilowatt-hour кіловат-годину
coil катушка
invalidate визнати недійсним
psychotherapeutic психотерапевтичний
carom каром
moshav мошав
ductile пластичний
ka ка
ankle щиколотка
penthouse пентхаус
brother-in-law свекруха
blacksmith коваль
dark-suited темно підходить
plumage оперення
julian джуліан
glacier-carved льодовик-різьблений
plaster штукатурка
dimmed затемнений
review огляд
Czarist Царський
misdirected неправильно спрямований
father батько
subgenre підзаголовок
verify перевірити
nearer ближче
headquarters штаб-квартира
photoelectric фотоелектрик
straying відлякування
neoclassical неокласичний
woods ліси
ills біди
open-top відкритий майданчик
courts суди
discriminative дискримінаційний
judges судді
self-sacrificing самопожертвування
before раніше
single-serving одноразовий
pee-wee пиріг
teeth зуби
metallurgy металургія
egret Егрет
crit критик
disputant суперечка
self-defeating самогубство
genealogical генеалогічний
copy скопіювати
tailing хвостосховища
sonnet сонет
gun пістолет
wise мудрий
homes будинки
earned зароблений
literal буквально
possibly можливо
leafy листовий
choosing вибираючи
striptease стриптиз
demanding вимагає
historic історичний
hole дірка
personal/social особистий / соціальний
infected інфікований
magnifier лупа
askari аскари
all все
negligibly пренебрежимо
shrunk зменшився
slashed зрізаний
spitefully злобно
first-wave перша хвиля
misunderstood неправильно зрозуміти
refurbished відремонтований
stratigraphic стратиграфічний
tone тон
refusing відмову
per за
abstinent абстинентний
hot-weather спекотна погода
appellation апеляція
national-level на національному рівні
ostinato остінато
recognize розпізнати
enquire запитати
loo loo
stake ставка
also-ran також побіг
handyman мануфактура
exhibit експонат
uses використовує
gerrymandering Gerrymandering
nascent виникає
divinization divinization
golden-haired золотистий
gaining набирати
edifice будівля
reinforce підкріпити
ingenuous нерозумний
Yiddish Ідиш
indemnify компенсувати
letting дозволяючи
bridle вуздечка
provoked спровокований
extracurricular позашкільний
newsletter інформаційний бюлетень
sex секс
overboard за бортом
heathen язичницький
mock махнути
acceptable прийнятний
glowingly яскраво
reflux рефлюкс
addition крім того
redistributing перерозподіл
visibly помітно
derriere Деррієр
defect дефект
abstraction абстракція
enter входити
skull череп
compassion співчуття
archivist архіваріус
artfulness хитрість
grandeur велич
amino аміно
parting розставання
extinct вимерлий
ceased припинено
galette галет
deferentially послідовно
falling падіння
gingered зажмурився
wench воріт
cuckold цукерка
charlotte шарлотта
greater більший
auspice euspice
lotus лотос
stupid тупий
ordinance розпорядження
unalterable незмінна
tail хвіст
awl прогулянка
login логін
coloratura колоратура
ballistic-missile балістична ракета
home-business домашній бізнес
surrounding оточуючих
knobby ноги
self-addressed самостійно адресований
shuddered дрогнув
from від
associational асоціація
shown показано
holland голландія
rheostat реостат
extend продовжити
anomalously аномально
player гравець
exclusivity ексклюзивність
met зустрілися
renew відновити
dashed пунктирний
european європейський
starship космічний корабель
jeer похмурий
baffle перегородка
ram ОЗП
uniform уніформа
duodenal дванадцятипалої кишки
lame крихітний
similar подібний
inverse зворотний
well-run добре керувати
soft м'який
lipsticked губна помада
uptick вершина
optimization оптимізація
coaxial коаксіальний
knocked постукав
wrest вирватися
somerset сомерсет
kindly люб'язно
destruct знищити
clasp застібка
intermountain міжповерховий
amnesty амністія
letter лист
communion спілкування
hassle клопоту
taller вище
fleshly тілесний
instil привчити
hellion привіт
shops магазини
organza органза
beds ліжка
break-in врізатися
stopping зупиняючись
frugally благополучно
amuse розважати
black-diamond чорний діамант
ray промінь
uninterested нецікаво
curve крива
swine свині
myth міф
flyboy флайбой
realtor ріелтор
humming гукати
cardiology кардіологія
serendipitous сердедіпіт
ipecac ipecac
counting підрахунок
abruptly різко
depress пригнічувати
vanished зник
mount монтувати
feared боялися
long-handled довго оброблений
sunk потоплений
hurricane ураган
self-taught самонавчання
creativity творчість
eight вісім
ignorant невіглавий
sombrero сомбреро
monstrosity чудовиськость
vigilant пильно
faked підроблений
lacuna лакуна
plainly ясно
fn фн
proprietor власник
princes князі
begged просив
orthopedic ортопедичний
peroxide пероксид
fifty-dollar п'ятдесят доларів
graham грем
warhead боєголовка
avidly жадібно
self-perception самопідчуття
seed насіння
city-state місто-держава
hem кромка
unseen невидимий
sight-singing видовище
toss кинути
second-chance другий шанс
unpleasantry неприємно
lily-white лілія біла
single-cell одноклітинний
fussbudget фузбюджет
appallingly жахливо
nearest найближчий
timelessness нескінченність
privateer приватник
appreciated оцінили
legitimize легітимізувати
dodder підставник
quickness швидкість
witch відьма
ham шинка
fraudulence шахрайство
backcourt задній кришці
tax-paying податок
march марш
plait косуха
ether ефір
doth робить
chutzpa чуцпа
printed друкований
depoliticize деполітизувати
charm чарівність
deficiency дефіцит
hillbilly хіллбиллі
truthful правдивий
needle-like голкоподібна
swung обернувся
cement цемент
enforced примусово
remembrance пам'ять
lighter легше
inviolability недоторканність
deflated здутий
intercostal міжреберний
address адреса
deafened оглушені
unclaimed незатребуваний
hostess господиня
nonmember не член
emancipation емансипація
likeness подібність
anointing помазання
prefectural префектурний
capacitive ємнісний
satisfied задоволений
preached проповідується
babbitt баббіт
repaid погашено
four-hundred чотириста
higher-speed більш висока швидкість
we've ми маємо
foremost перш за все
posted опубліковано
consecrated освячений
member член
gorgeous чудовий
self-heating автономне опалення
yours твій
clubs клуби
commodore коммотор
antecedent попередній
flight політ
synopsis синопсис
forgiven прощений
palpation пальпація
toggle переключитися
ghee Гі
triangulate триангулят
detain затримай
immaculate бездоганний
wronged помилився
vermont вермонт
pastoral пастирський
means засоби
six-pound шість фунтів
alternate чергувати
somnolence сонливість
exhaust вихлоп
peep заглянути
age вік
wanker wanker
finger палець
scarab скарабей
sleaze слізь
wig перук
anterior передній
throb пульсація
mazurka мазурка
publicly публічно
wages заробітна плата
ten-point десятизначний
silly дурний
lost загублений
catastrophic катастрофічний
naivety наївність
reconvert переконвертувати
discrete дискретний
displaced зміщений
melaleuca мелаука
tray лоток
ascribed приписаний
climatology кліматологія
hypnotism гіпнотизм
bearer пред'явника
closes закривається
powertrain силові агрегати
laboratory-based на базі лабораторії
unsettled неврегульований
carotene каротин
peter петер
bar бар
curler бігунок
calcium-rich багатий кальцієм
easier легше
con кон
clawing хрипнути
greaseless нежирний
disembody розбити
low-vision слабке зору
earthward на землю
wrongdoing правопорушення
soothe заспокойся
coconut кокосовий горіх
vapor пари
inspiratory інспіраторний
drainer дренаж
chirping співати
balk балка
cant не можу
non-believer невіруючий
representation представництво
prudish прушний
breast груди
fifty п'ятдесят
suggestions пропозиції
cord шнур
aggressiveness агресивність
hungarian угорська мова
antonym антонім
repress придушувати
awakened прокинувся
force сила
charged стягується
vera віра
insinuation інсинуація
water-stained вода забарвлена
descriptor дескриптор
projector проектор
schoolbus шкільний автобус
mouthwash полоскання рота
earth-tone земний тон
quoth кіт
charges збори
half-naked напій голий
velour велюр
harshly жорстоко
strip смуга
adulthood дорослішання
caress ласку
unshackled розкручений
bought купив
singleness самотність
affinity спорідненість
auditor аудитор
trachea трахея
five п'ять
metamorphosed метаморфізований
seismometer сейсмометр
anti-vietnam анти-в'єтнам
self-storage самостійне зберігання
getting отримувати
best-loved найкрасивіший
pronouncement висловлювання
stabbed врізаний
trickle струснути
restrain стримувати
misidentification помилка ідентифікації
visit візит
drive-time час водіння
node вузол
judging судячи
whirlwind вихор
dissipated розсіюється
arab арабський
describes описує
mind-bending розум-згинання
shimmy шіммі
opportunistic опортуністичний
overfished переповнений
deficient дефіцит
heave піднімай
herewith при цьому
cruelly жорстоко
ad-lib ad-lib
phoney добродійний
breach порушення
o' o '
artistic художні
corruptible тлінної
hungry голодний
11th 11-е місце
duly належним чином
election вибори
night-blooming нічне цвітіння
basin басейн
bibliographical бібліографічний
dover довер
sealskin тюленів
intrusion вторгнення
cadaveric нещасний
sheet аркуш
supremacy верховенство
scat скат
sundeck сонячна тераса
she'll вона буде
trait риса
cough кашель
regrowth відростання
decree указ
petite маленький
answer відповісти
oxford Оксфорд
ashen-faced ясеневий
neem нім
unreservedly без обмежень
fascination захоплення
gaunt притулок
applesauce яблуко
well-mixed добре змішаний
prayed молився
dish блюдо
voice-mail голосова пошта
moslem мусульманин
iron залізо
six-decade шість десятиліть
heading заголовок
places місць
advance заздалегідь
liberalization лібералізація
festival фестиваль
fanaticism фанатизм
glee радість
pitiful жалюгідний
incubator інкубатор
triumph тріумф
waistband пояса
haptic гаптичний
plump пухкий
succinct лаконічний
stirred перемішували
chief-of-staff начальник штабу
richer багатший
zoroastrian зороастрійський
pro-choice про-вибір
clairvoyance ясновидіння
connect підключити
stretch розтягнути
accepted прийнято
flee бігти
front-porch ганок
chemical хімічний
achilles ахілл
poly полі
suture шов
relativist релятивістський
paisley Пейслі
apportion розподіл
windsurf віндсерфінг
art мистецтво
significant значний
couch диван
fen фен
witty дотепний
business бізнес
ever-popular все популярний
injunction заборона
ofttimes часто
subsumption підпункт
talcum тальк
grouping групування
pitch крок
prepackaged фасований
intertribal міжрядковий
respective відповідні
asia азія
fraction фракція
deplorable жалюгідний
fatalism фаталізм
pendulous маятниковий
fireweed fireweed
radon радон
kindred родинний
linguistically лінгвістично
houseplant кімнатний рослина
unsurprised невпокоюся
cryopreservation криоконсервація
autoclave автоклав
girl-group дівчата-група
bacon-wrapped бекон обмотаний
embark встати
induced індукований
my мій
methionine метіонін
ecuadorian еквадорська
hilariously весело
honour честь
co-producer співавтор
ned нед
rainbow веселка
affliction скорбота
belie вірити
secretary секретар
adios адіос
upstart піднятися
cycling їздити на велосипеді
b б
fearful боїться
renege відновити
marketable товарний
electronic електронний
claiming стверджуючи
costs витрати
dipped занурений
kettle чайник
lunging легкий
hypothetically гіпотетично
twilight сутінки
glance погляд
log-transformed log-transformed
message повідомлення
overpriced завищені
smooch смух
eyes очі
upholster оббивка
venturi Вентури
demoiselle деміосель
ignoble непристойний
virgil вергілій
prof. проф.
jester жарт
favour користь
immunohistochemical імуногістохімічний
surfboard дошка для серфінгу
cognitively когнітивно
straining напруження
dung гній
handbasket сумочка
in-office в офісі
dissolution розчинення
computer-simulated комп'ютерний симуляція
oil-exporting експорт нафти
grungy шероховатый
so так
ruddy рум'яний
spiral спіраль
new-media нові медіа
rattle грюкатися
naughtiness дурниця
nor'easter ноєстер
already вже
mesophilic мезофільна
capacity ємність
urgent терміново
